"school","course","class","gender","ethnic","major","grands","parents","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","pass","old_must","mult","div","frac","log_exp","chem"
"UTXW",64.7,"FR","0","Black","other","Other","Y","78",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,1,1,0
"UTXW",56.6,"FR","0","Other","med","Y","Y","78",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,1,1,0
"ACUP",65.3,"JR","1","Hisp","stem","Y","Y","78",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,2,2,0,0,0
"ACUP",92.8,"SO","0","White","stem","Y","Y","78",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,3,0,0,1,3,0
"ACUP",66.9,"SO","1","Black","dual","N","N","78",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,3,0,0,1,3,0
"ACUP",45.8,"FR","1","Hisp","med","Other","Other","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,3,1,0,3,0,0
"ACUP",80.4,"SO","0","Hisp","other","Other","Y","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,3,1,0,3,0,0
"ACUP",92,"SO","1","White","med","Y","Y","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1,3,1,0,2,0,1
"TAMSA",80,"JR","0","Black","med","N","N","78",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,0,1,0,1,2
"TAMSA",74,"JR","0","Hisp","med","N","N","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,3,1,0,3,0,0
"TAMSA",48,"JR","1","Hisp","other","Other","N","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,3,1,0,3,0,0
"TAMU",96.1,"SO","0","White","med","Y","Y","78",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,3,0,1,0,1,2
"TAMU",63.7,"FR","0","Hisp","stem","N","Y","78",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,3,0,1,0,0
"TAMU",72.9,"FR","0","Mixed","stem","Y","Y","78",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,1,4,0,0,2,1,1
"TAMU",47.9,"SO","-1","Hisp","med","N","N","87",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,2,1,1,2,0,0
"TAMU",74.8,"SO","0","Hisp","stem","N","N","78",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,4,1,1,1,0,1
"TAMU",76,"FR","0","Hisp","dual","N","Y","87",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,1,4,1,0,1,0,2
"TAMU",62.1,"FR","1","White","stem","N","N","78",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,3,1,1,2,0,0
"TAMU",53.8,"FR","1","Black","med","Y","N","78",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,1,0,1,2
"TAMU",74.9,"SO","0","Hisp","med","N","Y","78",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,3,0,1,0,0
"TAMU",73.2,"SO","0","White","stem","N","Y","78",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,4,3,0,0,0,1
"TAMU",87.1,"FR","0","White","stem","N","Y","87",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4,1,3,0,0,2,0,2
"TSU",81.6,"JR","0","White","stem","Y","Y","87",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,1,3,1,0,2,1,0
"TSU",65.2,"FR","0","White","med","N","Y","87",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,3,1,0,1,1,1
"TSU",73.6,"FR","1","White","stem","Other","Other","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,3,1,0,1,0,2
"TSU",71.7,"FR","0","Asian","med","N","Y","78",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,3,1,0,3,0,0
"TSU",70.7,"SO","1","White","med","Y","Y","87",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,3,2,0,1,1,0
"TSU",72.2,"SO","0","White","med","Y","Y","78",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,3,1,0
"TSU",73.1,"FR","0","White","other","Y","Y","87",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,4,1,1,1,0,1
"UNT",67.5,"FR","1","Mixed","stem","N","N","87",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,4,0,3,0,0,2,1,1
"UNT",70.9,"JR","1","White","stem","Other","N","78",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,3,2,1,0,1,0
"UNT",76.6,"SO","1","White","stem","Other","Y","78",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4,1,3,0,0,2,0,2
"UNT",72.2,"JR","0","Hisp","med","N","N","87",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,4,1,3,0,0,1,2,1
"UNT",48.3,"JR","1","Hisp","stem","N","N","87",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,3,1,1,1,1,0
"UNT",67.8,"SO","0","Asian","med","N","Y","78",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,3,0,1,1,0,2
"UNT",81.6,"FR","0","Other","med","Other","Y","87",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,1,1,0,1,2,0,1
