school,letter,course,class,gender,ethnic,major,tx_hs,grands,parents,emp_on,emp_off,version,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must
TAMSA,W,NA,SR,0,Hisp,d,Y,N,N,N,N,87,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
TAMSA,F,54,FR,1,Hisp,b,Y,N,Y,N,Y,78,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
TAMSA,B,86,SR,1,Black,b,Y,N,N,N,Y,87,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
TAMU,C,74.7,SO,1,White,a. Sci,Y,Y,Y,N,N,87,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
TAMU,F,56.5,SO,0,White,,Y,N,N,N,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
TAMU,C,74,FR,0,Hisp,b,Y,N,N,Y,N,87,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
TAMU,D,62.6,FR,0,Hisp,STEM,Y,N,N,N,Y,78,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
TAMU,C,75.6,SO,1,Hisp,b,Y,N,N,N,N,78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
TSU,B,82,SO,0,White,a. Sci,N,Y,Y,N,N,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
TSU,C,72.3,JR,0,"White,Hisp",a. Sci,N,Y,Y,N,Y,78,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TSU,D,66,JR,1,Hisp,a. Sci,Y,Y,Y,N,Y,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
TSU,C,69.2,FR,1,Arab,a. Sci,Y,N,Y,N,N,87,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
TSU,A,95.2,FR,0,Mixed,a. Sci,Y,DK,Y,N,N,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
UNT,C,70.2,SO,1,Arab,a. Eng,N,Y,Y,N,N,78,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
UNT,B,83.5,PB,0,White,b,Y,Y,Y,N,Y,78,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3
UNT,D,60.4,SO,1,White,a. Eng,Y,DK,Y,N,N,78,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
UNT,W,NA,FR,0,Hisp,a. Sci,Y,N,N,N,N,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
UNT,F,55.2,FR,1,Hisp,a. Sci,Y,N,N,N,N,87,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
UNT,C,74.8,JR,0,White,b,Y,Y,Y,N,Y,87,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
UNT,B,81.8,FR,0,Black,b,Y,N,N,N,N,78,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
UNT,C,76.7,FR,1,Mixed,b,Y,Y,Y,N,N,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
UNT,F,25,JR,0,"Hisp,White",a. Sci,Y,N,N,N,Y,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
UNT,B,87.3,FR,0,White,b,Y,N,Y,N,N,78,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
UNT,W,NA,FR,0,Hisp,a. Sci,Y,N,N,N,N,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
UNT,F,45.6,FR,1,Black,b,Y,DK,Y,N,N,87,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
UNT,A,96.6,SO,1,White,a. Sci,Y,Y,Y,N,Y,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
UNT,W,NA,FR,1,White,b,Y,N,Y,N,Y,78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
UNT,D,66.1,PB,1,White,b,Y,Y,Y,N,N,78,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
UNT,C,69.8,FR,0,"White,Hisp",a. Sci,Y,N,Y,Y,Y,87,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
UNT,F,27,FR,1,"White,Black",a. Sci,Y,Y,Y,Y,N,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
UNT,W,NA,FR,0,White,a. Sci,Y,Y,Y,N,N,78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
UNT,C,68.7,SO,0,White,d,Y,DK,N,N,N,87,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
UNT,B,79.8,FR,0,Arab,a. Sci,Y,Y,Y,N,N,87,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
UNT,B,81.1,SO,1,Hisp,a. Sci,Y,Y,Y,N,N,78,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3
UTXW,A,93.1,FR,0,Black,b,Y,Y,Y,N,N,78,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
UTXW,C,64.7,FR,0,Black, ,Y,DK,Y,Y,N,78,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
