"course_avg","school","class","gender","ethnicity","parent","grand","hrs_work","emp_on","emp_off","tx_birth","tx_hs","version","must"
78.9,"TAMU","FR","0","White","Y","N","0","N","N","Y","Y","v87",14
88.3,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",10
97.3,"TAMU","SO","1","White","Y","Y","1-10","N","Y","Y","Y","v78",17
74.7,"TAMU","SO","1","White","Y","Y","0","N","N","Y","Y","v87",3
96.7,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",11
70.7,"TAMU","FR","0","White","N","N","0","N","N","Y","Y","v78",5
63.2,"TAMU","FR","1","White","Y","N","0","N","N","Y","Y","v87",6
91.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",18
94.3,"TAMU","FR","1","Mixed","Y","Y","0","N","N","Y","Y","v87",17
75.6,"TAMU","SO","1","White","Other","Y","0","N","N","Y","Y","v78",5
99.2,"TAMU","FR","0","White","Y","Other","0","N","N","Y","Y","v78",11
81.3,"TAMU","FR","1","White","Y","Other","0","N","N","Y","Y","v87",15
58.9,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",1
92.6,"TAMU","FR","0","White","Y","Other","0","N","N","Y","Y","v78",15
84.2,"TAMU","FR","0","White","N","N","0","N","N","Y","Y","v78",14
92.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",18
92.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",17
72.9,"TAMU","FR","0","Mixed","Y","Y","0","N","N","Y","Y","v78",4
91.7,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",15
78.9,"TAMU","FR","1","White","Y","N","0","N","N","Y","Y","v87",14
77.1,"TAMU","FR","0","Black","N","N","0","N","N","Y","N","v87",2
83.1,"TAMU","SO","1","White","Y","Y","0","N","N","Y","Y","v78",15
81,"TAMU","FR","0","Asian","Y","N","0","N","N","Y","Y","v87",13
71.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",9
84.4,"TAMU","FR","0","White","Y","Y","1-10","Y","N","Y","Y","v87",11
95.4,"TAMU","FR","0","White","Y","N","0","N","N","Y","Y","v87",16
92.6,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",7
89,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",10
82.1,"TAMU","FR","0","Mixed","Y","Y","0","N","N","Y","Y","v78",12
85.5,"TAMU","SO","0","White","Y","N","11-19","Y","N","Y","Y","v78",14
96.3,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",15
75.6,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",14
83.1,"TAMU","FR","1","Hisp","Y","Y","0","N","N","Y","Y","v78",13
85.2,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",17
87.9,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",12
85.7,"TAMU","FR","1","Hisp","N","Other","0","N","N","Y","Y","v87",8
65.5,"TAMU","FR","0","Mixed","N","N","0","N","N","Y","Y","v78",7
62.4,"TAMU","FR","0","Hisp","N","N","0","N","N","Y","Y","v78",15
87.2,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",15
77.1,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",13
93,"TAMU","FR","0","Mixed","Y","N","0","N","N","Y","Y","v78",13
80.3,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",9
76.2,"TAMU","FR","0","Other","Y","Y","0","N","N","Y","Y","v87",18
72,"TAMU","JR","0","Asian","N","N","0","N","N","Y","Y","v78",13
90.7,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",19
92.5,"TAMU","FR","0","Asian","Y","Other","0","N","N","Y","Y","v78",14
50.4,"TAMU","FR","0","Mixed","Y","Y","0","N","N","Y","Y","v78",12
81.3,"TAMU","SO","0","Asian","Y","Y","0","N","N","Y","Y","v87",16
86.9,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",6
83.1,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",11
77.8,"TAMU","FR","0","Mixed","Y","Y","0","N","N","Y","Y","v87",13
86.6,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",15
68.2,"TAMU","FR","0","White","Y","Other","0","N","N","Y","Y","v87",8
67.6,"TAMU","FR","1","White","Y","Other","0","N","N","Y","Y","v78",12
90.7,"TAMU","FR","0","White","N","Other","0","N","N","Y","Y","v87",16
94.2,"TAMU","SO","1","White","Y","N","0","N","N","Y","Y","v78",13
90.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",16
96.5,"TAMU","FR","0","Other","Y","Y","0","N","N","Y","Y","v87",17
