school,course,class,gender,ethnic,major,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1C,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
ACUPF17CHI072,94.47,FR,0,White,b,Y,Y,N,N,0,78,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,11,1,1,1,1,1,1,0,1,1,1,1,1,11
ACUPF17CHI078,88.7,FR,0,White,a. Sci,Y,Y,N,N,0,87,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,17,1,1,0,1,1,1,1,1,1,1,1,1,11
ACUPF17CHI083,88.64,FR,0,White,b,Y,Y,N,N,0,87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,11,1,0,1,1,1,0,1,0,1,1,1,1,9
ACUPF17CHI092,88.91,FR,0,White,b,Y,Y,N,N,0,78,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,0,1,1,1,0,1,1,1,1,10
ACUPF17CHI094,92.4,SO,0,White,b,Y,Y,N,N,0,78,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,0,11
ACUPF17CHI096,92.15,FR,0,White,b,Y,Y,N,N,0,87,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,1,1,1,1,1,0,1,1,1,1,1,1,11
ACUPF17CHI103,84.28,FR,0,White,b,Y,Y,N,N,0,78,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,1,1,1,1,1,0,1,1,0,1,1,0,9
ACUPF17CHI104,70.7,FR,0,White,b,Y,Y,N,N,0,78,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0,0,0,0,1,1,1,0,6
ACUPF17CHI108,80.95,SO,0,White,b,Y,Y,N,N,0,87,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,6,0,0,1,1,1,0,0,1,1,1,1,0,7
UNTWF17CHI032,61.94966059,SO,0,White,c,Y,Y,N,N,0,78,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,9,1,1,0,1,0,1,1,0,0,1,1,1,8
UTXWF17CHI003,94.5,FR,0,White,a. Sci,Y,Y,N,N,0,87,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,7,1,0,1,1,1,1,1,0,1,1,1,1,10
UTXWF17CHI007,78.8,FR,0,Mixed,a. Sci,Y,Y,N,N,0,87,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,11,1,1,1,1,0,1,0,0,1,1,1,1,9
UTXWF17CHI018,71.1,FR,0,Hispanic,b,Y,Y,N,N,0,78,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,3
UTXWF17CHI031,93.1,FR,0,Black,b,Y,Y,N,N,0,78,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,1,0,1,1,0,1,1,0,8
UTXWF17CHI032,71.9,FR,0,White,b,Y,Y,N,N,0,78,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,1,1,1,1,1,9
UTXWF17CHI040,91.8,FR,0,White,a. Sci,Y,Y,N,N,0,87,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,10,1,1,0,0,1,1,1,1,1,1,1,1,10
UTXWF17CHI044,92.3,FR,0,White,c,Y,Y,N,N,0,87,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,15,0,0,1,0,1,0,0,0,0,1,0,1,4
UTXWF17CHI047,79.9,FR,0,Black,b,Y,Y,N,N,0,87,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,1,0,0,1,0,1,1,1,8
UTXWF17CHI055,79.3,FR,0,White,b,Y,Y,N,N,0,78,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,1,1,0,1,0,0,1,0,0,0,1,1,6
UTXWF17CHI062,94.1,FR,0,Hispanic,b,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,17,1,0,1,1,0,0,1,0,0,1,1,1,7
UTXWF17CHI064,70.6,FR,0,Hispanic,a. Sci,Y,Y,N,N,0,78,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,7,1,1,0,1,0,0,1,0,1,1,1,1,8
UTXWF17CHI070,96.2,FR,0,Mixed, ,Y,Y,N,N,0,87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,13,0,1,1,1,1,0,0,1,0,1,1,1,8
UTXWF17CHI084,102.1,FR,0,White,a. Sci,Y,Y,N,N,0,78,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,16,1,1,1,0,1,1,1,0,1,1,0,1,9
UTXWF17CHI091,89.5,FR,0,White,a. Eng,Y,Y,N,N,0,87,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,6,0,1,0,1,0,1,1,1,0,0,0,1,6
UTXWF17CHI093,90.5,FR,0,White,a. Sci,Y,Y,N,N,0,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,6,1,1,1,1,1,1,1,0,0,0,1,1,9
UTXWF17CHI098,97.1,FR,0,Hispanic,b,Y,Y,N,N,0,87,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,9,1,1,0,1,0,1,1,1,0,0,0,1,7
UTXWF17CHI102,74.5,FR,0,Hispanic,b,Y,Y,N,N,0,78,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,11,,,,,,,,,,,,,
UTXWF17CHI109,103.1,FR,0,Mixed,a. Eng,Y,Y,N,N,0,87,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,15,1,1,0,1,0,1,1,0,1,1,0,1,8
UTXWF17CHI112,80.9,FR,0,White,a. Sci,Y,Y,N,N,0,87,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,10,1,1,1,1,0,1,1,1,1,1,1,1,11
UTXWF17CHI118,100.7,FR,0,Mixed,a. Eng,Y,Y,N,N,0,87,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,13,1,1,1,1,1,0,0,0,0,0,1,1,7
