"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"UTXW",96.2,"FR",0,"Mixed"," ","Y","Y","N","N","0",87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,13
"UTXW",102.1,"FR",0,"White","a. Sci","Y","Y","N","N","0",78,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,16
"UTXW",89.5,"FR",0,"White","a. Eng","Y","Y","N","N","0",87,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,6
"UTXW",90.5,"FR",0,"White","a. Sci","Y","Y","N","N","0",87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,6
"UTXW",97.1,"FR",0,"Hispanic","b","Y","Y","N","N","0",87,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,9
"UTXW",74.5,"FR",0,"Hispanic","b","Y","Y","N","N","0",78,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,11
"UTXW",103.1,"FR",0,"Mixed","a. Eng","Y","Y","N","N","0",87,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,15
"UTXW",80.9,"FR",0,"White","a. Sci","Y","Y","N","N","0",87,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,10
"UTXW",100.7,"FR",0,"Mixed","a. Eng","Y","Y","N","N","0",87,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,13
"UTXW",72.5,"FR",0,"Hispanic","b","Y","Y","N","N","0",78,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8
"UTXW",92.8,"FR",0,"White","","Y","Y","N","N","0",87,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
"UTXW",85.7,"FR",0,"Other","c","Y","Y","N","N","0",87,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,11
"UTXW",56.6,"FR",0,"Other","b","Y","Y","N","N","0",78,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
