"school","course","class","gender","ethnic","major","tx_birth","tx_hs","emp_on","emp_off","hrs","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","pass","gp_edu","old_must","mult","div","frac","log_exp","chem"
"ACUP",95.8,"FR","1","Asian","stem","Y","N","N","N","0","78",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,1,"NY",16,3,4,4,5,3
"ACUP",80.4,"SO","0","Hisp","other","Y","Y","Y","Y","11-19","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,"N/A",3,1,0,3,0,0
"ACUP",83.9,"FR","1","Black","med","Y","Y","N","N","0","87",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,1,"N/A",13,3,5,4,3,2
"ACUP",88.7,"FR","0","White","stem","Y","Y","N","N","0","87",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,17,1,"YY",13,3,4,4,3,3
"ACUP",81.2,"FR","1","White","stem","Y","Y","N","N","0","78",1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,15,1,"NN",12,3,2,4,4,2
"ACUP",83.4,"FR","1","White","stem","Y","Y","N","N","0","78",1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,13,1,"N/A",10,3,2,2,4,2
"ACUP",70.1,"SR","1","White","stem","Y","Y","N","N","0","78",0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,12,1,"YY",9,2,3,3,3,1
"ACUP",68.1,"FR","0","Hisp","med","Y","Y","N","N","0","87",1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,0,"NY",5,2,0,1,3,0
"ACUP",88.6,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,11,1,"YY",8,3,3,3,1,1
"ACUP",95.5,"FR","0","White","med","Y","Y","N","N","0","78",0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,7,1,"N/A",6,1,0,1,3,2
"ACUP",95.7,"FR","1","White","stem","Y","Y","N","N","0","87",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,1,"N/A",15,3,4,3,5,3
"ACUP",86,"JR","0","Black","stem","Y","N","N","Y","20-29","78",0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,9,1,"N/A",6,2,2,4,0,1
"ACUP",91.5,"FR","1","White","med","Y","Y","N","N","0","87",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,9,1,"YY",7,3,1,3,0,2
"ACUP",94.3,"FR","1","White","med","Y","Y","N","Y","1-10","87",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,"YY",16,3,5,4,5,3
"ACUP",83.2,"SO","0","White","med","Y","N","Y","N","1-10","78",1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,15,1,"YY",13,3,4,2,3,3
"ACUP",88.9,"FR","0","White","med","Y","N","N","N","0","78",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,16,1,"YY",13,3,3,3,4,3
