"school","course","class","gender","ethnic","major","zip","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","Q1A","Q1C","Q2A","Q2C","Q3A","Q3C","Q4A","Q4C","Q5A","Q5C","Q6A","Q6C","comm","pass","alg","conc"
"ACUP",95.7,"FR","1","White","stem","79","DK","Y","N","N","0","87",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,1,1,1,1,0,1,1,1,1,1,1,1,11,1,5,6
"ACUP",86,"JR","0","Black","stem","74","DK","Y","N","Y","20-29","78",0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,9,1,1,1,1,1,0,1,0,1,1,1,0,9,1,6,3
"ACUP",91.5,"FR","1","White","med","76","Y","Y","N","N","0","87",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,9,1,1,0,1,1,0,1,0,0,1,1,0,7,1,4,3
"ACUP",94.3,"FR","1","White","med","76","Y","Y","N","Y","1-10","87",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,0,1,1,1,1,1,0,0,1,1,1,9,1,5,4
"ACUP",83.2,"SO","0","White","med","78","Y","Y","Y","N","1-10","78",1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,15,1,1,1,1,0,0,1,1,1,1,1,0,9,1,5,4
"ACUP",88.9,"FR","0","White","med","85","Y","Y","N","N","0","78",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,0,1,1,1,0,1,1,1,1,10,1,6,4
"ACUP",81.9,"SR","0","Black","med","85","N","N","N","N","0","87",1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,1,1,0,1,0,1,1,1,1,10,1,6,4
"ACUP",92.4,"SO","0","White","med","78","Y","Y","N","N","0","78",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,0,11,1,6,5
"ACUP",93.1,"FR","1","White","med","75","Y","Y","N","N","0","78",0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,13,1,1,1,1,1,1,0,1,1,1,1,0,10,1,5,5
"ACUP",92.2,"FR","0","White","med","77","Y","Y","N","N","0","87",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5
"ACUP",86.9,"FR","0","White","med","76","DK","Y","N","N","0","87",1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,14,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6
"ACUP",92.4,"SO","1","White","med","79","N","Y","N","N","0","87",1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,14,1,1,1,1,1,1,0,1,1,1,1,1,11,1,5,6
"ACUP",76.8,"FR","1","Hisp","med","79","N","Y","N","N","0","87",1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,1
"ACUP",42.8,"FR","0","Black","med","75","N","Y","N","N","0","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,0,0,0,1,0,0,0,0,4,0,2,2
"ACUP",61.3,"SO","0","White","med","75","DK","Y","N","N","0","78",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7,1,1,0,1,1,1,1,0,0,1,1,0,8,0,4,4
"ACUP",96.4,"FR","1","Hisp","med","78","Y","Y","N","N","0","87",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,1,0,1,1,1,1,0,0,1,1,1,0,8,1,5,3
"ACUP",84.3,"FR","0","White","med","79","Y","Y","N","N","0","78",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,1,1,1,1,1,0,1,1,0,1,1,0,9,1,5,4
"ACUP",70.7,"FR","0","White","med","76","Y","Y","N","N","0","78",1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0,0,0,0,1,1,1,0,6,1,4,2
"ACUP",92.5,"FR","1","White","med","79","DK","Y","N","N","0","78",1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,14,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4
"ACUP",71.1,"FR","1","Black","stem","79","Y","N","N","N","0","87",1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,8,0,1,0,0,0,0,1,0,0,1,1,1,5,1,2,3
"ACUP",92.9,"FR","1","White","med","75","N","Y","N","N","0","78",0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,14,1,1,1,1,1,1,0,0,1,1,1,0,9,1,5,4
"ACUP",81,"SO","0","White","med","76","Y","Y","N","N","0","87",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,6,0,0,1,1,1,0,0,1,1,1,1,0,7,1,4,3
"ACUP",95.3,"FR","1","Other","med","76","Y","Y","N","N","0","78",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,7,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5
"ACUP",92,"SO","1","White","med","75","Y","Y","N","N","0","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1,0,1,1,1,0,1,0,1,1,1,1,9,1,6,3
"TAMSA",65,"SO","1","Hisp","med","78","N","N","N","N","0","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0
"TAMSA",66,"SO","0","Hisp","med","67","N","N","N","N","0","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,3,0,2,1
"TAMSA",34,"FR","0","Hisp","other","78","N","Y","N","N","0","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMSA",67,"JR","0","White","stem","78","Y","Y","N","Y","30-39","87",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,1,0,0,5,0,2,3
"TAMSA",76,"JR","0","Hisp","stem","78","N","Y","N","Y","30-39","87",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,7,1,0,0,1,0,0,1,0,0,0,0,0,3,1,2,1
"TAMSA",80,"JR","0","Black","med","78","N","N","N","Y","30-39","78",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,1,0,0,0,0,0,1,0,5,1,3,2
"TAMSA",85,"SO","0","Hisp","med","78","N","N","Y","N","20-29","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
"TAMSA",70,"SO","0","Hisp","med","78","DK","N","Y","N","0","78",1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,10,1,0,0,0,1,0,1,0,0,1,0,1,5,0,3,2
"TAMSA",74,"JR","0","Hisp","med","78","N","N","N","N","0","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0
"TAMSA",94,"FR","0","Mixed","stem","78","N","N","N","N","0","87",1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,8,0,1,1,1,0,0,0,0,0,0,1,1,5,1,2,3
